,name,ModelNumber,ecc_Compatability,wattage,dimm_slot,memory_type,pci_express_slot_type,quantity
47,ASRock B550M Pro4,10206,FALSE,65,1,5,4,2
48,MSI B450M PRO-VDH MAX,8981,FALSE,65,2,3,1,1
49,MSI MAG B550M MORTAR WIFI,10211,FALSE,35,2,1,4,1
50,Asus PRIME A320M-K,10216,FALSE,35,1,3,1,2
51,Gigabyte B365M DS3H,10221,FALSE,35,1,3,4,3
52,Asus PRIME B460M-A,9651,FALSE,35,1,4,4,3
53,Gigabyte X570 I AORUS PRO WIFI,9206,FALSE,35,2,4,4,1
54,Gigabyte Z490 VISION G,10511,FALSE,45,1,5,3,3
55,MSI MPG X570 GAMING EDGE WIFI,9081,FALSE,45,1,5,1,1
56,Gigabyte B550 AORUS ELITE AX V2,9086,FALSE,45,2,4,3,1
57,Asus ROG STRIX B550-E GAMING,9091,FALSE,15,2,5,4,2
58,MSI B460M PRO-VDH WIFI,9096,FALSE,15,1,1,4,3
59,ASRock B450M-HDV R4.0,9116,FALSE,15,2,4,2,2
60,Asus TUF GAMING B550-PLUS (WI-FI),9101,FALSE,15,2,3,1,1
61,MSI B450 Gaming Plus MAX,9106,FALSE,15,1,2,1,2
62,ASRock B560M Pro4,9051,FALSE,15,1,4,4,1
63,Asus TUF GAMING B550-PLUS,11286,FALSE,15,1,5,3,2
64,Asus ROG Crosshair VIII Formula,8476,FALSE,65,1,5,3,2
65,ASRock B550 Phantom Gaming 4,11291,FALSE,15,2,5,2,2
66,Asus PRIME Z490-P,8991,FALSE,35,1,3,1,1
67,MSI MPG X570 GAMING PRO CARBON WIFI,8921,FALSE,15,2,3,2,3
68,Asus TUF GAMING B550M-PLUS (WI-FI),8481,FALSE,65,1,2,4,1
69,ASRock B560M-HDV,8996,FALSE,35,1,3,1,2
70,Asus PRIME B560-PLUS,10136,FALSE,35,2,1,2,1
71,Gigabyte X570 AORUS ELITE,8986,FALSE,35,2,1,2,1
72,Gigabyte B550 VISION D-P,8371,FALSE,35,2,4,3,1
73,MSI A320M-A PRO,8376,FALSE,35,2,2,1,2
74,MSI MPG X570 GAMING PLUS,8336,FALSE,15,1,2,3,1
75,Gigabyte Z390 AORUS PRO WIFI,8341,FALSE,15,2,5,1,3
76,MSI MEG X570 UNIFY,10876,FALSE,15,2,4,1,2
77,ASRock B450 Pro4,10531,FALSE,15,2,4,4,1
78,Gigabyte TRX40 AORUS XTREME,8346,FALSE,15,2,5,2,3
79,Gigabyte B550 AORUS PRO AC,8916,FALSE,15,1,4,3,3
80,Gigabyte B450 AORUS M,10481,FALSE,15,2,5,4,3
81,ASRock B450M Steel Legend,8351,FALSE,15,1,1,2,3
82,Gigabyte B560M DS3H,10486,FALSE,15,2,4,4,1
83,ASRock A320M-HDV R4.0,9061,FALSE,15,2,1,3,2
84,Gigabyte X570 AORUS XTREME,9066,FALSE,15,1,4,1,2
85,MSI B450-A PRO MAX,8356,FALSE,15,2,5,4,3
86,MSI B450 GAMING PRO CARBON MAX WIFI,9056,FALSE,15,1,3,4,2
87,ASRock B550M-ITX/ac,9896,FALSE,6,1,1,2,1
88,Asus ROG STRIX Z590-A GAMING WIFI,9076,FALSE,15,2,3,3,3
89,Asus ROG STRIX B560-A GAMING WIFI,9071,FALSE,15,1,2,2,3
90,Asus TUF GAMING B450M-PLUS II,10231,FALSE,35,1,5,1,2
91,MSI B560M PRO-VDH WIFI,9901,FALSE,6,2,1,1,2
92,Asus ROG Crosshair VIII Hero,10226,FALSE,65,1,1,3,3
93,MSI MPG B550 GAMING CARBON WIFI,10166,FALSE,6,1,1,2,1
94,NZXT N7 B550,10236,FALSE,35,1,5,4,1
95,Asus ROG Strix X570-F Gaming,11201,FALSE,6,2,4,1,3
96,MSI Z590-A PRO,7921,TRUE,250,2,4,4,3
97,MSI B450 TOMAHAWK MAX II,7936,TRUE,250,1,2,1,2
98,Asus PRIME B550M-A (WI-FI),7926,TRUE,180,2,3,1,2
99,MSI X470 GAMING PLUS MAX,7941,TRUE,180,2,5,4,2
100,Asus TUF GAMING X570-PLUS (WI-FI),7656,FALSE,105,1,2,3,3
101,MSI B450 TOMAHAWK MAX,7661,FALSE,65,2,1,2,2
102,Asus ROG STRIX B550-F GAMING (WI-FI),8266,FALSE,45,2,4,3,2
103,MSI MAG B550 TOMAHAWK,7671,FALSE,95,1,3,2,3
104,ASRock B450M Pro4,7666,FALSE,65,2,2,2,2
105,MSI Z490-A PRO,8261,FALSE,45,2,4,2,2
106,Asus ROG STRIX B550-A GAMING,8216,FALSE,65,1,5,3,3
107,MSI B550-A PRO,7221,FALSE,65,1,1,4,1
108,Asus ROG Strix X570-E Gaming,7651,FALSE,35,1,4,2,1
109,Gigabyte B450M DS3H V2,8221,FALSE,65,2,2,4,3
110,MSI MPG Z490 GAMING PLUS,7226,FALSE,65,1,2,4,2
111,Asus ROG STRIX B450-F GAMING,7646,FALSE,35,2,1,2,3
112,MSI B550M PRO-VDH WIFI,8251,FALSE,45,1,3,1,1
113,MSI MAG X570 TOMAHAWK WIFI,8256,FALSE,45,2,4,2,1
114,Asus ROG Crosshair VIII Dark Hero,5306,FALSE,15,1,3,1,3
115,Gigabyte B460M DS3H,5311,FALSE,15,2,4,4,1
116,MSI MPG Z490 GAMING EDGE WIFI,7236,FALSE,15,2,3,3,1
117,Gigabyte B450 I AORUS PRO WIFI,7231,FALSE,15,2,4,4,3
118,MSI MPG B550 GAMING EDGE WIFI,2066,TRUE,180,1,1,4,2
119,Asus ROG STRIX Z490-E GAMING,2061,TRUE,180,1,2,2,3
120,Asus ROG STRIX B550-F GAMING,3011,FALSE,180,2,3,1,2
121,Asus ROG STRIX Z590-E GAMING WIFI,1221,FALSE,95,1,4,3,3
122,Asus ROG Strix X570-I Gaming,11241,FALSE,65,2,1,4,3
123,Asus PRIME B560M-A,11236,FALSE,35,2,3,3,2
124,Asus ROG ZENITH II EXTREME ALPHA,1226,FALSE,95,1,2,3,3
125,MSI MPG B550 GAMING PLUS,8861,TRUE,65,1,2,2,1
126,Gigabyte X570 AORUS ELITE WIFI,1216,FALSE,65,1,1,3,1
127,ASRock B450 Steel Legend,8871,FALSE,65,1,5,2,2
128,Asus PRIME Z390-A,11011,FALSE,15,2,3,3,2
129,Asus PRIME Z490-A,11006,FALSE,15,2,3,1,2
130,Asus PRIME B460-PLUS,11231,FALSE,65,2,4,1,3
131,Gigabyte B550M DS3H,11016,FALSE,15,2,2,2,1
132,Gigabyte B450 AORUS ELITE V2,11226,FALSE,35,1,3,3,2
133,Gigabyte B550I AORUS PRO AX,11246,FALSE,65,2,1,2,2
134,Asus ROG STRIX B450-F GAMING II,10241,FALSE,65,2,4,4,2
135,Asus PRIME X570-PRO,10256,FALSE,35,1,1,1,1
136,Gigabyte X570 AORUS MASTER,8866,FALSE,65,1,3,4,3
137,Asus ROG Crosshair VIII Hero (WI-FI),1246,FALSE,95,2,2,2,2
138,MSI Z390-A PRO,11251,FALSE,35,1,5,3,1
139,Asus PRIME H410M-E,10246,FALSE,65,2,4,2,3
140,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),10261,FALSE,35,1,5,1,1
141,MSI B450M BAZOOKA MAX WIFI,10251,FALSE,65,2,2,2,2
142,Asus ROG MAXIMUS XIII HERO,10266,FALSE,35,2,4,3,1
143,Asus TUF Gaming Z590-PLUS WIFI,1241,FALSE,65,2,4,2,1
144,Asus TUF GAMING B560M-PLUS WIFI,9121,FALSE,65,2,5,2,1
145,Asus TUF GAMING X570-PRO (WI-FI),8876,FALSE,65,1,3,1,2
146,Asus ROG STRIX B550-I GAMING,8886,FALSE,35,2,1,1,3
147,ASRock B550M Pro4,1236,FALSE,65,2,4,4,3
148,MSI B450M PRO-VDH MAX,10271,FALSE,65,1,5,4,1
149,MSI MAG B550M MORTAR WIFI,10276,FALSE,35,2,5,3,1
150,Asus PRIME A320M-K,1231,FALSE,65,1,5,1,3
151,Gigabyte B365M DS3H,8881,FALSE,65,1,2,2,3
152,Asus PRIME B460M-A,8891,FALSE,35,1,5,1,3
153,Gigabyte X570 I AORUS PRO WIFI,2041,FALSE,65,1,1,1,3
154,Gigabyte Z490 VISION G,10281,FALSE,65,1,3,4,2
155,MSI MPG X570 GAMING EDGE WIFI,10286,FALSE,35,1,4,3,3
156,Gigabyte B550 AORUS ELITE AX V2,10291,FALSE,35,1,5,4,1
157,Asus ROG STRIX B550-E GAMING,8896,FALSE,35,2,4,1,3
158,MSI B460M PRO-VDH WIFI,2046,FALSE,65,1,1,1,3
159,ASRock B450M-HDV R4.0,8236,FALSE,95,1,3,4,2
160,Asus TUF GAMING B550-PLUS (WI-FI),9686,FALSE,15,1,2,2,1
161,MSI B450 Gaming Plus MAX,8241,FALSE,65,2,4,1,3
162,ASRock B560M Pro4,9691,FALSE,15,2,4,4,1
163,Asus TUF GAMING B550-PLUS,9696,FALSE,15,1,1,4,3
164,Asus ROG Crosshair VIII Formula,2011,FALSE,95,1,3,2,2
165,ASRock B550 Phantom Gaming 4,8416,FALSE,15,1,1,3,3
166,Asus PRIME Z490-P,8411,FALSE,15,2,5,1,2
167,MSI MPG X570 GAMING PRO CARBON WIFI,2016,FALSE,65,1,3,2,3
168,Asus TUF GAMING B550M-PLUS (WI-FI),8246,FALSE,65,2,3,2,2
169,ASRock B560M-HDV,10896,FALSE,15,2,4,4,1
170,Asus PRIME B560-PLUS,8406,FALSE,15,1,4,1,2
171,Gigabyte X570 AORUS ELITE,10901,FALSE,15,2,3,3,3
172,Gigabyte B550 VISION D-P,2021,FALSE,65,2,4,1,1
173,MSI A320M-A PRO,8421,FALSE,15,2,2,1,2
174,MSI MPG X570 GAMING PLUS,2026,FALSE,65,2,5,1,2
175,Gigabyte Z390 AORUS PRO WIFI,7206,FALSE,15,2,3,3,1
176,MSI MEG X570 UNIFY,7771,FALSE,65,1,4,2,1
177,ASRock B450 Pro4,7786,FALSE,35,1,1,4,2
178,Gigabyte TRX40 AORUS XTREME,2031,FALSE,65,1,5,4,2
179,Gigabyte B550 AORUS PRO AC,7211,FALSE,15,2,5,3,1
180,Gigabyte B450 AORUS M,7776,FALSE,65,2,1,2,3
181,ASRock B450M Steel Legend,7781,FALSE,35,1,4,4,2
182,Gigabyte B560M DS3H,2036,FALSE,65,2,2,4,2
183,ASRock A320M-HDV R4.0,7216,FALSE,15,1,4,2,2
184,Gigabyte X570 AORUS XTREME,9436,FALSE,15,2,4,3,3
185,MSI B450-A PRO MAX,7491,FALSE,15,1,3,4,2
186,MSI B450 GAMING PRO CARBON MAX WIFI,9431,FALSE,15,2,5,4,3
187,ASRock B550M-ITX/ac,7496,FALSE,15,2,1,3,1
188,Asus ROG STRIX Z590-A GAMING WIFI,2121,FALSE,65,1,2,1,3
189,Asus ROG STRIX B560-A GAMING WIFI,2116,FALSE,35,2,4,3,1
190,Asus TUF GAMING B450M-PLUS II,2111,FALSE,65,2,2,4,3
191,MSI B560M PRO-VDH WIFI,2106,FALSE,35,1,4,3,3
192,Asus ROG Crosshair VIII Hero,2101,FALSE,65,1,5,1,3
193,MSI MPG B550 GAMING CARBON WIFI,2086,FALSE,65,1,3,3,3
194,NZXT N7 B550,2096,FALSE,65,2,5,3,2
195,Asus ROG Strix X570-F Gaming,2091,FALSE,35,1,2,4,3
196,MSI Z590-A PRO,6126,FALSE,35,1,3,1,1
197,MSI B450 TOMAHAWK MAX II,6131,FALSE,15,1,3,2,1
198,Asus PRIME B550M-A (WI-FI),6136,FALSE,35,1,2,2,2
199,MSI X470 GAMING PLUS MAX,6141,FALSE,15,2,1,3,1
200,Asus TUF GAMING X570-PLUS (WI-FI),8226,FALSE,15,1,2,3,3
201,MSI B450 TOMAHAWK MAX,2126,FALSE,15,1,3,2,2
202,Asus ROG STRIX B550-F GAMING (WI-FI),2051,FALSE,10,2,1,3,1
203,MSI MAG B550 TOMAHAWK,8231,FALSE,15,1,2,3,1
204,ASRock B450M Pro4,2131,FALSE,15,2,2,2,1
205,MSI Z490-A PRO,8361,FALSE,6,2,3,4,2
206,Asus ROG STRIX B550-A GAMING,2056,FALSE,15,2,1,2,2
207,MSI B550-A PRO,8396,FALSE,15,1,5,4,3
208,Asus ROG Strix X570-E Gaming,2136,FALSE,15,2,1,1,3
209,Gigabyte B450M DS3H V2,8366,FALSE,6,2,4,1,1
210,MSI MPG Z490 GAMING PLUS,6171,FALSE,65,1,4,1,3
211,Asus ROG STRIX B450-F GAMING,6176,FALSE,35,2,1,2,2
212,MSI B550M PRO-VDH WIFI,6161,FALSE,65,2,4,3,3
213,MSI MAG X570 TOMAHAWK WIFI,6166,FALSE,35,1,4,1,3
214,Asus ROG Crosshair VIII Dark Hero,6191,FALSE,65,1,4,4,1
215,Gigabyte B460M DS3H,6181,FALSE,65,1,4,2,1
216,MSI MPG Z490 GAMING EDGE WIFI,6186,FALSE,35,1,4,4,2
217,Gigabyte B450 I AORUS PRO WIFI,6196,FALSE,35,1,4,1,2
218,MSI MPG B550 GAMING EDGE WIFI,6201,FALSE,15,1,4,3,1
219,Asus ROG STRIX Z490-E GAMING,6206,FALSE,35,1,1,3,2
220,Asus ROG STRIX B550-F GAMING,6211,FALSE,15,1,2,3,1
221,Asus ROG STRIX Z590-E GAMING WIFI,6216,FALSE,35,2,5,4,1
222,Asus ROG Strix X570-I Gaming,6221,FALSE,15,2,4,1,1
223,Asus PRIME B560M-A,6226,FALSE,15,2,2,1,1
224,Asus ROG ZENITH II EXTREME ALPHA,6116,FALSE,35,1,2,3,3
225,MSI MPG B550 GAMING PLUS,6121,FALSE,15,2,4,4,2
226,Gigabyte X570 AORUS ELITE WIFI,2141,FALSE,15,2,2,2,2
227,ASRock B450 Steel Legend,5921,FALSE,15,2,1,4,1
228,Asus PRIME Z390-A,5926,FALSE,15,1,5,2,3
229,Asus PRIME Z490-A,6231,FALSE,65,2,4,4,2
230,Asus PRIME B460-PLUS,6146,FALSE,35,2,3,1,2
231,Gigabyte B550M DS3H,6031,FALSE,95,1,1,4,1
232,Gigabyte B450 AORUS ELITE V2,6236,FALSE,65,2,2,3,1
233,Gigabyte B550I AORUS PRO AX,6241,FALSE,35,2,1,1,3
234,Asus ROG STRIX B450-F GAMING II,6036,FALSE,65,2,5,2,2
235,Asus PRIME X570-PRO,6041,FALSE,65,1,1,2,2
236,Gigabyte X570 AORUS MASTER,6151,FALSE,65,1,5,2,1
237,Asus ROG Crosshair VIII Hero (WI-FI),6156,FALSE,35,2,3,2,2
238,MSI Z390-A PRO,6046,FALSE,65,1,1,1,1
239,Asus PRIME H410M-E,6051,FALSE,65,2,1,4,1
240,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),6246,FALSE,65,2,2,1,2
241,MSI B450M BAZOOKA MAX WIFI,5691,FALSE,15,2,5,1,2
242,Asus ROG MAXIMUS XIII HERO,6251,FALSE,65,2,4,2,3
243,Asus TUF Gaming Z590-PLUS WIFI,6066,FALSE,15,2,2,2,2
244,Asus TUF GAMING B560M-PLUS WIFI,6061,FALSE,15,2,3,3,1
245,Asus TUF GAMING X570-PRO (WI-FI),6256,FALSE,65,1,2,3,3
246,Asus ROG STRIX B550-I GAMING,6056,FALSE,15,1,4,4,2
247,ASRock B550M Pro4,5916,FALSE,15,2,4,3,3
248,MSI B450M PRO-VDH MAX,6101,FALSE,95,2,3,3,2
249,MSI MAG B550M MORTAR WIFI,6026,FALSE,95,2,3,1,2
250,Asus PRIME A320M-K,6106,FALSE,95,2,5,1,1
251,Gigabyte B365M DS3H,6086,FALSE,65,2,1,4,2
252,Asus PRIME B460M-A,6081,FALSE,65,1,5,4,2
253,Gigabyte X570 I AORUS PRO WIFI,5706,FALSE,95,2,2,1,3
254,Gigabyte Z490 VISION G,5701,FALSE,65,1,3,2,2
255,MSI MPG X570 GAMING EDGE WIFI,5696,FALSE,65,1,3,1,3
256,Gigabyte B550 AORUS ELITE AX V2,5341,FALSE,100,2,3,2,2
257,Asus ROG STRIX B550-E GAMING,5336,FALSE,100,1,4,3,3
258,MSI B460M PRO-VDH WIFI,5326,FALSE,65,2,4,4,2
259,ASRock B450M-HDV R4.0,5331,FALSE,45,2,1,2,3
260,Asus TUF GAMING B550-PLUS (WI-FI),10906,TRUE,280,2,4,1,2
261,MSI B450 Gaming Plus MAX,10911,TRUE,225,2,4,4,2
262,ASRock B560M Pro4,10916,TRUE,225,1,5,2,2
263,Asus TUF GAMING B550-PLUS,10921,TRUE,240,1,1,4,1
264,Asus ROG Crosshair VIII Formula,10926,TRUE,225,1,1,2,2
265,ASRock B550 Phantom Gaming 4,10931,TRUE,280,2,5,3,2
266,Asus PRIME Z490-P,10936,TRUE,225,2,4,3,2
267,MSI MPG X570 GAMING PRO CARBON WIFI,10941,TRUE,225,2,3,2,1
268,Asus TUF GAMING B550M-PLUS (WI-FI),10946,TRUE,200,1,4,4,1
269,ASRock B560M-HDV,10951,TRUE,225,1,4,1,1
270,Asus PRIME B560-PLUS,10956,TRUE,240,1,2,1,1
271,Gigabyte X570 AORUS ELITE,10961,TRUE,200,1,4,3,1
272,Gigabyte B550 VISION D-P,10966,TRUE,200,1,1,3,1
273,MSI A320M-A PRO,10971,TRUE,180,1,4,3,1
274,MSI MPG X570 GAMING PLUS,10976,TRUE,240,1,3,4,3
275,Gigabyte Z390 AORUS PRO WIFI,10981,TRUE,190,2,1,3,2
276,MSI MEG X570 UNIFY,10986,TRUE,155,2,1,3,3
277,ASRock B450 Pro4,10991,TRUE,155,1,5,4,1
278,Gigabyte TRX40 AORUS XTREME,6076,FALSE,95,1,4,1,1
279,Gigabyte B550 AORUS PRO AC,10996,FALSE,180,2,5,3,1
280,Gigabyte B450 AORUS M,9656,TRUE,240,1,5,2,1
281,ASRock B450M Steel Legend,5816,FALSE,95,1,2,3,2
282,Gigabyte B560M DS3H,9661,TRUE,240,1,5,2,1
283,ASRock A320M-HDV R4.0,9666,FALSE,180,2,1,3,3
284,Gigabyte X570 AORUS XTREME,9131,TRUE,280,2,2,3,2
285,MSI B450-A PRO MAX,8761,TRUE,225,1,2,4,3
286,MSI B450 GAMING PRO CARBON MAX WIFI,6071,FALSE,95,1,1,1,1
287,ASRock B550M-ITX/ac,8766,TRUE,200,2,2,3,3
288,Asus ROG STRIX Z590-A GAMING WIFI,5811,FALSE,65,2,2,4,1
289,Asus ROG STRIX B560-A GAMING WIFI,8771,TRUE,200,2,3,3,1
290,Asus TUF GAMING B450M-PLUS II,5481,FALSE,65,2,1,4,1
291,MSI B560M PRO-VDH WIFI,8961,TRUE,225,2,5,2,1
292,Asus ROG Crosshair VIII Hero,5471,FALSE,65,1,5,2,3
293,MSI MPG B550 GAMING CARBON WIFI,8786,TRUE,225,2,1,4,2
294,NZXT N7 B550,8776,TRUE,200,1,3,4,1
295,Asus ROG Strix X570-F Gaming,5476,FALSE,45,1,5,2,2
296,MSI Z590-A PRO,8781,TRUE,225,2,5,4,2
297,MSI B450 TOMAHAWK MAX II,8966,TRUE,200,2,1,1,3
298,Asus PRIME B550M-A (WI-FI),8791,TRUE,180,2,2,2,3
299,MSI X470 GAMING PLUS MAX,8796,TRUE,180,1,2,2,2
300,Asus TUF GAMING X570-PLUS (WI-FI),8801,TRUE,155,2,1,3,2
301,MSI B450 TOMAHAWK MAX,8816,TRUE,180,2,4,3,2
302,Asus ROG STRIX B550-F GAMING (WI-FI),8811,TRUE,180,2,3,2,3
303,MSI MAG B550 TOMAHAWK,8806,TRUE,155,1,1,3,2
304,ASRock B450M Pro4,6091,FALSE,65,1,2,2,3
305,MSI Z490-A PRO,5781,FALSE,65,1,1,1,2
306,Asus ROG STRIX B550-A GAMING,8821,TRUE,155,1,3,2,1
307,MSI B550-A PRO,5431,FALSE,65,1,5,1,2
308,Asus ROG Strix X570-E Gaming,8826,TRUE,155,2,1,4,3
309,Gigabyte B450M DS3H V2,5776,FALSE,15,2,2,1,2
310,MSI MPG Z490 GAMING PLUS,8836,TRUE,120,2,3,1,3
311,Asus ROG STRIX B450-F GAMING,5426,FALSE,65,1,4,3,3
312,MSI B550M PRO-VDH WIFI,8831,TRUE,120,1,1,1,1
313,MSI MAG X570 TOMAHAWK WIFI,8851,FALSE,155,2,3,3,2
314,Asus ROG Crosshair VIII Dark Hero,5771,FALSE,25,2,5,4,2
315,Gigabyte B460M DS3H,8846,FALSE,120,2,4,3,2
316,MSI MPG Z490 GAMING EDGE WIFI,8841,FALSE,120,2,3,2,3
317,Gigabyte B450 I AORUS PRO WIFI,1951,TRUE,180,1,3,2,3
318,MSI MPG B550 GAMING EDGE WIFI,1961,TRUE,180,2,4,1,2
319,Asus ROG STRIX Z490-E GAMING,1956,TRUE,180,1,3,2,3
320,Asus ROG STRIX B550-F GAMING,1966,TRUE,155,2,2,4,3
321,Asus ROG STRIX Z590-E GAMING WIFI,5401,FALSE,65,1,3,2,3
322,Asus ROG Strix X570-I Gaming,1971,TRUE,180,2,4,2,3
323,Asus PRIME B560M-A,5396,FALSE,65,1,3,2,3
324,Asus ROG ZENITH II EXTREME ALPHA,1981,TRUE,155,2,1,3,1
325,MSI MPG B550 GAMING PLUS,1976,TRUE,155,1,3,1,3
326,Gigabyte X570 AORUS ELITE WIFI,5391,FALSE,65,2,5,1,2
327,ASRock B450 Steel Legend,8386,TRUE,200,2,4,2,3
328,Asus PRIME Z390-A,1991,TRUE,155,2,2,4,2
329,Asus PRIME Z490-A,1986,TRUE,155,1,2,2,2
330,Asus PRIME B460-PLUS,1996,TRUE,155,2,1,1,1
331,Gigabyte B550M DS3H,5731,FALSE,15,1,4,3,2
332,Gigabyte B450 AORUS ELITE V2,2001,TRUE,155,1,4,4,2
333,Gigabyte B550I AORUS PRO AX,5726,FALSE,15,1,5,4,2
334,Asus ROG STRIX B450-F GAMING II,7791,FALSE,155,1,3,4,3
335,Asus PRIME X570-PRO,2006,FALSE,120,1,4,4,3
336,Gigabyte X570 AORUS MASTER,1481,FALSE,220,1,3,2,3
337,Asus ROG Crosshair VIII Hero (WI-FI),1476,FALSE,220,2,5,1,3
338,MSI Z390-A PRO,1466,FALSE,125,2,2,1,3
339,Asus PRIME H410M-E,1471,FALSE,95,1,2,1,2
340,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),5716,FALSE,35,1,4,3,2
341,MSI B450M BAZOOKA MAX WIFI,1461,FALSE,125,2,1,2,2
342,Asus ROG MAXIMUS XIII HERO,5711,FALSE,20,1,3,1,3
343,Asus TUF Gaming Z590-PLUS WIFI,1456,FALSE,125,1,3,2,3
344,Asus TUF GAMING B560M-PLUS WIFI,1451,FALSE,125,1,1,4,2
345,Asus TUF GAMING X570-PRO (WI-FI),5721,FALSE,4.5,2,5,1,3
346,Asus ROG STRIX B550-I GAMING,1446,FALSE,95,2,5,2,2
347,ASRock B550M Pro4,1441,FALSE,125,1,5,2,2
348,MSI B450M PRO-VDH MAX,1436,FALSE,95,2,5,3,3
349,MSI MAG B550M MORTAR WIFI,1431,FALSE,95,2,1,3,2
350,Asus PRIME A320M-K,1426,FALSE,125,1,4,1,3
351,Gigabyte B365M DS3H,1421,FALSE,125,1,4,4,1
352,Asus PRIME B460M-A,5956,FALSE,15,2,3,1,1
353,Gigabyte X570 I AORUS PRO WIFI,1416,FALSE,125,2,4,1,2
354,Gigabyte Z490 VISION G,5826,FALSE,100,1,5,1,2
355,MSI MPG X570 GAMING EDGE WIFI,1411,FALSE,125,2,1,3,1
356,Gigabyte B550 AORUS ELITE AX V2,5821,FALSE,20,1,3,3,1
357,Asus ROG STRIX B550-E GAMING,5936,FALSE,15,1,4,1,3
358,MSI B460M PRO-VDH WIFI,1926,FALSE,95,1,1,3,1
359,ASRock B450M-HDV R4.0,1406,FALSE,125,2,1,4,2
360,Asus TUF GAMING B550-PLUS (WI-FI),1401,FALSE,95,1,3,3,3
361,MSI B450 Gaming Plus MAX,1396,FALSE,125,1,1,4,1
362,ASRock B560M Pro4,1931,FALSE,95,1,4,4,3
363,Asus TUF GAMING B550-PLUS,1391,FALSE,95,1,2,2,1
364,Asus ROG Crosshair VIII Formula,1386,FALSE,125,1,5,4,3
