,name,ModelNumber,ecc_Compatability,wattage
91,MSI B560M PRO-VDH WIFI,9901.0,False,6.0
92,Asus ROG Crosshair VIII Hero,10226.0,False,65.0
93,MSI MPG B550 GAMING CARBON WIFI,10166.0,False,6.0
94,NZXT N7 B550,10236.0,False,35.0
95,Asus ROG Strix X570-F Gaming,11201.0,False,6.0
96,MSI Z590-A PRO,7921.0,True,250.0
97,MSI B450 TOMAHAWK MAX II,7936.0,True,250.0
98,Asus PRIME B550M-A (WI-FI),7926.0,True,180.0
99,MSI X470 GAMING PLUS MAX,7941.0,True,180.0
100,Asus TUF GAMING X570-PLUS (WI-FI),7656.0,False,105.0
101,MSI B450 TOMAHAWK MAX,7661.0,False,65.0
102,Asus ROG STRIX B550-F GAMING (WI-FI),8266.0,False,45.0
103,MSI MAG B550 TOMAHAWK,7671.0,False,95.0
104,ASRock B450M Pro4,7666.0,False,65.0
105,MSI Z490-A PRO,8261.0,False,45.0
106,Asus ROG STRIX B550-A GAMING,8216.0,False,65.0
107,MSI B550-A PRO,7221.0,False,65.0
108,Asus ROG Strix X570-E Gaming,7651.0,False,35.0
109,Gigabyte B450M DS3H V2,8221.0,False,65.0
110,MSI MPG Z490 GAMING PLUS,7226.0,False,65.0
111,Asus ROG STRIX B450-F GAMING,7646.0,False,35.0
112,MSI B550M PRO-VDH WIFI,8251.0,False,45.0
113,MSI MAG X570 TOMAHAWK WIFI,8256.0,False,45.0
114,Asus ROG Crosshair VIII Dark Hero,5306.0,False,15.0
115,Gigabyte B460M DS3H,5311.0,False,15.0
116,MSI MPG Z490 GAMING EDGE WIFI,7236.0,False,15.0
117,Gigabyte B450 I AORUS PRO WIFI,7231.0,False,15.0
118,MSI MPG B550 GAMING EDGE WIFI,2066.0,True,180.0
119,Asus ROG STRIX Z490-E GAMING,2061.0,True,180.0
120,Asus ROG STRIX B550-F GAMING,3011.0,False,180.0
121,Asus ROG STRIX Z590-E GAMING WIFI,1221.0,False,95.0
122,Asus ROG Strix X570-I Gaming,11241.0,False,65.0
123,Asus PRIME B560M-A,11236.0,False,35.0
124,Asus ROG ZENITH II EXTREME ALPHA,1226.0,False,95.0
125,MSI MPG B550 GAMING PLUS,8861.0,True,65.0
126,Gigabyte X570 AORUS ELITE WIFI,1216.0,False,65.0
127,ASRock B450 Steel Legend,8871.0,False,65.0
128,Asus PRIME Z390-A,11011.0,False,15.0
129,Asus PRIME Z490-A,11006.0,False,15.0
130,Asus PRIME B460-PLUS,11231.0,False,65.0
131,Gigabyte B550M DS3H,11016.0,False,15.0
132,Gigabyte B450 AORUS ELITE V2,11226.0,False,35.0
133,Gigabyte B550I AORUS PRO AX,11246.0,False,65.0
134,Asus ROG STRIX B450-F GAMING II,10241.0,False,65.0
135,Asus PRIME X570-PRO,10256.0,False,35.0
136,Gigabyte X570 AORUS MASTER,8866.0,False,65.0
137,Asus ROG Crosshair VIII Hero (WI-FI),1246.0,False,95.0
138,MSI Z390-A PRO,11251.0,False,35.0
139,Asus PRIME H410M-E,10246.0,False,65.0
140,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),10261.0,False,35.0
141,MSI B450M BAZOOKA MAX WIFI,10251.0,False,65.0
142,Asus ROG MAXIMUS XIII HERO,10266.0,False,35.0
143,Asus TUF Gaming Z590-PLUS WIFI,1241.0,False,65.0
144,Asus TUF GAMING B560M-PLUS WIFI,9121.0,False,65.0
145,Asus TUF GAMING X570-PRO (WI-FI),8876.0,False,65.0
146,Asus ROG STRIX B550-I GAMING,8886.0,False,35.0
147,ASRock B550M Pro4,1236.0,False,65.0
148,MSI B450M PRO-VDH MAX,10271.0,False,65.0
149,MSI MAG B550M MORTAR WIFI,10276.0,False,35.0
150,Asus PRIME A320M-K,1231.0,False,65.0
151,Gigabyte B365M DS3H,8881.0,False,65.0
152,Asus PRIME B460M-A,8891.0,False,35.0
153,Gigabyte X570 I AORUS PRO WIFI,2041.0,False,65.0
154,Gigabyte Z490 VISION G,10281.0,False,65.0
155,MSI MPG X570 GAMING EDGE WIFI,10286.0,False,35.0
156,Gigabyte B550 AORUS ELITE AX V2,10291.0,False,35.0
157,Asus ROG STRIX B550-E GAMING,8896.0,False,35.0
158,MSI B460M PRO-VDH WIFI,2046.0,False,65.0
159,ASRock B450M-HDV R4.0,8236.0,False,95.0
160,Asus TUF GAMING B550-PLUS (WI-FI),9686.0,False,15.0
161,MSI B450 Gaming Plus MAX,8241.0,False,65.0
162,ASRock B560M Pro4,9691.0,False,15.0
163,Asus TUF GAMING B550-PLUS,9696.0,False,15.0
164,Asus ROG Crosshair VIII Formula,2011.0,False,95.0
165,ASRock B550 Phantom Gaming 4,8416.0,False,15.0
166,Asus PRIME Z490-P,8411.0,False,15.0
167,MSI MPG X570 GAMING PRO CARBON WIFI,2016.0,False,65.0
168,Asus TUF GAMING B550M-PLUS (WI-FI),8246.0,False,65.0
169,ASRock B560M-HDV,10896.0,False,15.0
170,Asus PRIME B560-PLUS,8406.0,False,15.0
171,Gigabyte X570 AORUS ELITE,10901.0,False,15.0
172,Gigabyte B550 VISION D-P,2021.0,False,65.0
173,MSI A320M-A PRO,8421.0,False,15.0
174,MSI MPG X570 GAMING PLUS,2026.0,False,65.0
175,Gigabyte Z390 AORUS PRO WIFI,7206.0,False,15.0
176,MSI MEG X570 UNIFY,7771.0,False,65.0
177,ASRock B450 Pro4,7786.0,False,35.0
178,Gigabyte TRX40 AORUS XTREME,2031.0,False,65.0
179,Gigabyte B550 AORUS PRO AC,7211.0,False,15.0
180,Gigabyte B450 AORUS M,7776.0,False,65.0
181,ASRock B450M Steel Legend,7781.0,False,35.0
182,Gigabyte B560M DS3H,2036.0,False,65.0
183,ASRock A320M-HDV R4.0,7216.0,False,15.0
184,Gigabyte X570 AORUS XTREME,9436.0,False,15.0
185,MSI B450-A PRO MAX,7491.0,False,15.0
186,MSI B450 GAMING PRO CARBON MAX WIFI,9431.0,False,15.0
187,ASRock B550M-ITX/ac,7496.0,False,15.0
188,Asus ROG STRIX Z590-A GAMING WIFI,2121.0,False,65.0
189,Asus ROG STRIX B560-A GAMING WIFI,2116.0,False,35.0
190,Asus TUF GAMING B450M-PLUS II,2111.0,False,65.0
191,MSI B560M PRO-VDH WIFI,2106.0,False,35.0
192,Asus ROG Crosshair VIII Hero,2101.0,False,65.0
193,MSI MPG B550 GAMING CARBON WIFI,2086.0,False,65.0
194,NZXT N7 B550,2096.0,False,65.0
195,Asus ROG Strix X570-F Gaming,2091.0,False,35.0
196,MSI Z590-A PRO,6126.0,False,35.0
197,MSI B450 TOMAHAWK MAX II,6131.0,False,15.0
198,Asus PRIME B550M-A (WI-FI),6136.0,False,35.0
199,MSI X470 GAMING PLUS MAX,6141.0,False,15.0
200,Asus TUF GAMING X570-PLUS (WI-FI),8226.0,False,15.0
201,MSI B450 TOMAHAWK MAX,2126.0,False,15.0
202,Asus ROG STRIX B550-F GAMING (WI-FI),2051.0,False,10.0
203,MSI MAG B550 TOMAHAWK,8231.0,False,15.0
204,ASRock B450M Pro4,2131.0,False,15.0
205,MSI Z490-A PRO,8361.0,False,6.0
206,Asus ROG STRIX B550-A GAMING,2056.0,False,15.0
207,MSI B550-A PRO,8396.0,False,15.0
208,Asus ROG Strix X570-E Gaming,2136.0,False,15.0
209,Gigabyte B450M DS3H V2,8366.0,False,6.0
210,MSI MPG Z490 GAMING PLUS,6171.0,False,65.0
211,Asus ROG STRIX B450-F GAMING,6176.0,False,35.0
212,MSI B550M PRO-VDH WIFI,6161.0,False,65.0
213,MSI MAG X570 TOMAHAWK WIFI,6166.0,False,35.0
214,Asus ROG Crosshair VIII Dark Hero,6191.0,False,65.0
215,Gigabyte B460M DS3H,6181.0,False,65.0
216,MSI MPG Z490 GAMING EDGE WIFI,6186.0,False,35.0
217,Gigabyte B450 I AORUS PRO WIFI,6196.0,False,35.0
218,MSI MPG B550 GAMING EDGE WIFI,6201.0,False,15.0
219,Asus ROG STRIX Z490-E GAMING,6206.0,False,35.0
220,Asus ROG STRIX B550-F GAMING,6211.0,False,15.0
221,Asus ROG STRIX Z590-E GAMING WIFI,6216.0,False,35.0
222,Asus ROG Strix X570-I Gaming,6221.0,False,15.0
223,Asus PRIME B560M-A,6226.0,False,15.0
224,Asus ROG ZENITH II EXTREME ALPHA,6116.0,False,35.0
225,MSI MPG B550 GAMING PLUS,6121.0,False,15.0
226,Gigabyte X570 AORUS ELITE WIFI,2141.0,False,15.0
227,ASRock B450 Steel Legend,5921.0,False,15.0
228,Asus PRIME Z390-A,5926.0,False,15.0
229,Asus PRIME Z490-A,6231.0,False,65.0
230,Asus PRIME B460-PLUS,6146.0,False,35.0
231,Gigabyte B550M DS3H,6031.0,False,95.0
232,Gigabyte B450 AORUS ELITE V2,6236.0,False,65.0
233,Gigabyte B550I AORUS PRO AX,6241.0,False,35.0
234,Asus ROG STRIX B450-F GAMING II,6036.0,False,65.0
235,Asus PRIME X570-PRO,6041.0,False,65.0
236,Gigabyte X570 AORUS MASTER,6151.0,False,65.0
237,Asus ROG Crosshair VIII Hero (WI-FI),6156.0,False,35.0
238,MSI Z390-A PRO,6046.0,False,65.0
239,Asus PRIME H410M-E,6051.0,False,65.0
240,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),6246.0,False,65.0
241,MSI B450M BAZOOKA MAX WIFI,5691.0,False,15.0
242,Asus ROG MAXIMUS XIII HERO,6251.0,False,65.0
243,Asus TUF Gaming Z590-PLUS WIFI,6066.0,False,15.0
244,Asus TUF GAMING B560M-PLUS WIFI,6061.0,False,15.0
245,Asus TUF GAMING X570-PRO (WI-FI),6256.0,False,65.0
246,Asus ROG STRIX B550-I GAMING,6056.0,False,15.0
247,ASRock B550M Pro4,5916.0,False,15.0
248,MSI B450M PRO-VDH MAX,6101.0,False,95.0
249,MSI MAG B550M MORTAR WIFI,6026.0,False,95.0
250,Asus PRIME A320M-K,6106.0,False,95.0
251,Gigabyte B365M DS3H,6086.0,False,65.0
252,Asus PRIME B460M-A,6081.0,False,65.0
253,Gigabyte X570 I AORUS PRO WIFI,5706.0,False,95.0
254,Gigabyte Z490 VISION G,5701.0,False,65.0
255,MSI MPG X570 GAMING EDGE WIFI,5696.0,False,65.0
256,Gigabyte B550 AORUS ELITE AX V2,5341.0,False,100.0
257,Asus ROG STRIX B550-E GAMING,5336.0,False,100.0
258,MSI B460M PRO-VDH WIFI,5326.0,False,65.0
259,ASRock B450M-HDV R4.0,5331.0,False,45.0
260,Asus TUF GAMING B550-PLUS (WI-FI),10906.0,True,280.0
261,MSI B450 Gaming Plus MAX,10911.0,True,225.0
262,ASRock B560M Pro4,10916.0,True,225.0
263,Asus TUF GAMING B550-PLUS,10921.0,True,240.0
264,Asus ROG Crosshair VIII Formula,10926.0,True,225.0
265,ASRock B550 Phantom Gaming 4,10931.0,True,280.0
266,Asus PRIME Z490-P,10936.0,True,225.0
267,MSI MPG X570 GAMING PRO CARBON WIFI,10941.0,True,225.0
268,Asus TUF GAMING B550M-PLUS (WI-FI),10946.0,True,200.0
269,ASRock B560M-HDV,10951.0,True,225.0
270,Asus PRIME B560-PLUS,10956.0,True,240.0
271,Gigabyte X570 AORUS ELITE,10961.0,True,200.0
272,Gigabyte B550 VISION D-P,10966.0,True,200.0
273,MSI A320M-A PRO,10971.0,True,180.0
274,MSI MPG X570 GAMING PLUS,10976.0,True,240.0
275,Gigabyte Z390 AORUS PRO WIFI,10981.0,True,190.0
276,MSI MEG X570 UNIFY,10986.0,True,155.0
277,ASRock B450 Pro4,10991.0,True,155.0
278,Gigabyte TRX40 AORUS XTREME,6076.0,False,95.0
279,Gigabyte B550 AORUS PRO AC,10996.0,False,180.0
280,Gigabyte B450 AORUS M,9656.0,True,240.0
281,ASRock B450M Steel Legend,5816.0,False,95.0
282,Gigabyte B560M DS3H,9661.0,True,240.0
283,ASRock A320M-HDV R4.0,9666.0,False,180.0
284,Gigabyte X570 AORUS XTREME,9131.0,True,280.0
285,MSI B450-A PRO MAX,8761.0,True,225.0
286,MSI B450 GAMING PRO CARBON MAX WIFI,6071.0,False,95.0
287,ASRock B550M-ITX/ac,8766.0,True,200.0
288,Asus ROG STRIX Z590-A GAMING WIFI,5811.0,False,65.0
289,Asus ROG STRIX B560-A GAMING WIFI,8771.0,True,200.0
290,Asus TUF GAMING B450M-PLUS II,5481.0,False,65.0
291,MSI B560M PRO-VDH WIFI,8961.0,True,225.0
292,Asus ROG Crosshair VIII Hero,5471.0,False,65.0
293,MSI MPG B550 GAMING CARBON WIFI,8786.0,True,225.0
294,NZXT N7 B550,8776.0,True,200.0
295,Asus ROG Strix X570-F Gaming,5476.0,False,45.0
296,MSI Z590-A PRO,8781.0,True,225.0
297,MSI B450 TOMAHAWK MAX II,8966.0,True,200.0
298,Asus PRIME B550M-A (WI-FI),8791.0,True,180.0
299,MSI X470 GAMING PLUS MAX,8796.0,True,180.0
300,Asus TUF GAMING X570-PLUS (WI-FI),8801.0,True,155.0
301,MSI B450 TOMAHAWK MAX,8816.0,True,180.0
302,Asus ROG STRIX B550-F GAMING (WI-FI),8811.0,True,180.0
303,MSI MAG B550 TOMAHAWK,8806.0,True,155.0
304,ASRock B450M Pro4,6091.0,False,65.0
305,MSI Z490-A PRO,5781.0,False,65.0
306,Asus ROG STRIX B550-A GAMING,8821.0,True,155.0
307,MSI B550-A PRO,5431.0,False,65.0
308,Asus ROG Strix X570-E Gaming,8826.0,True,155.0
309,Gigabyte B450M DS3H V2,5776.0,False,15.0
310,MSI MPG Z490 GAMING PLUS,8836.0,True,120.0
311,Asus ROG STRIX B450-F GAMING,5426.0,False,65.0
312,MSI B550M PRO-VDH WIFI,8831.0,True,120.0
313,MSI MAG X570 TOMAHAWK WIFI,8851.0,False,155.0
314,Asus ROG Crosshair VIII Dark Hero,5771.0,False,25.0
315,Gigabyte B460M DS3H,8846.0,False,120.0
316,MSI MPG Z490 GAMING EDGE WIFI,8841.0,False,120.0
317,Gigabyte B450 I AORUS PRO WIFI,1951.0,True,180.0
318,MSI MPG B550 GAMING EDGE WIFI,1961.0,True,180.0
319,Asus ROG STRIX Z490-E GAMING,1956.0,True,180.0
320,Asus ROG STRIX B550-F GAMING,1966.0,True,155.0
321,Asus ROG STRIX Z590-E GAMING WIFI,5401.0,False,65.0
322,Asus ROG Strix X570-I Gaming,1971.0,True,180.0
323,Asus PRIME B560M-A,5396.0,False,65.0
324,Asus ROG ZENITH II EXTREME ALPHA,1981.0,True,155.0
325,MSI MPG B550 GAMING PLUS,1976.0,True,155.0
326,Gigabyte X570 AORUS ELITE WIFI,5391.0,False,65.0
327,ASRock B450 Steel Legend,8386.0,True,200.0
328,Asus PRIME Z390-A,1991.0,True,155.0
329,Asus PRIME Z490-A,1986.0,True,155.0
330,Asus PRIME B460-PLUS,1996.0,True,155.0
331,Gigabyte B550M DS3H,5731.0,False,15.0
332,Gigabyte B450 AORUS ELITE V2,2001.0,True,155.0
333,Gigabyte B550I AORUS PRO AX,5726.0,False,15.0
334,Asus ROG STRIX B450-F GAMING II,7791.0,False,155.0
335,Asus PRIME X570-PRO,2006.0,False,120.0
336,Gigabyte X570 AORUS MASTER,1481.0,False,220.0
337,Asus ROG Crosshair VIII Hero (WI-FI),1476.0,False,220.0
338,MSI Z390-A PRO,1466.0,False,125.0
339,Asus PRIME H410M-E,1471.0,False,95.0
340,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),5716.0,False,35.0
341,MSI B450M BAZOOKA MAX WIFI,1461.0,False,125.0
342,Asus ROG MAXIMUS XIII HERO,5711.0,False,20.0
343,Asus TUF Gaming Z590-PLUS WIFI,1456.0,False,125.0
344,Asus TUF GAMING B560M-PLUS WIFI,1451.0,False,125.0
345,Asus TUF GAMING X570-PRO (WI-FI),5721.0,False,4.5
346,Asus ROG STRIX B550-I GAMING,1446.0,False,95.0
347,ASRock B550M Pro4,1441.0,False,125.0
348,MSI B450M PRO-VDH MAX,1436.0,False,95.0
349,MSI MAG B550M MORTAR WIFI,1431.0,False,95.0
350,Asus PRIME A320M-K,1426.0,False,125.0
351,Gigabyte B365M DS3H,1421.0,False,125.0
352,Asus PRIME B460M-A,5956.0,False,15.0
353,Gigabyte X570 I AORUS PRO WIFI,1416.0,False,125.0
354,Gigabyte Z490 VISION G,5826.0,False,100.0
355,MSI MPG X570 GAMING EDGE WIFI,1411.0,False,125.0
356,Gigabyte B550 AORUS ELITE AX V2,5821.0,False,20.0
357,Asus ROG STRIX B550-E GAMING,5936.0,False,15.0
358,MSI B460M PRO-VDH WIFI,1926.0,False,95.0
359,ASRock B450M-HDV R4.0,1406.0,False,125.0
360,Asus TUF GAMING B550-PLUS (WI-FI),1401.0,False,95.0
361,MSI B450 Gaming Plus MAX,1396.0,False,125.0
362,ASRock B560M Pro4,1931.0,False,95.0
363,Asus TUF GAMING B550-PLUS,1391.0,False,95.0
364,Asus ROG Crosshair VIII Formula,1386.0,False,125.0
365,ASRock B550 Phantom Gaming 4,1381.0,False,125.0
366,Asus PRIME Z490-P,1376.0,False,95.0
367,MSI MPG X570 GAMING PRO CARBON WIFI,1691.0,False,95.0
368,Asus TUF GAMING B550M-PLUS (WI-FI),1686.0,False,95.0
369,ASRock B560M-HDV,1911.0,False,125.0
370,Asus PRIME B560-PLUS,5931.0,False,15.0
371,Gigabyte X570 AORUS ELITE,5941.0,False,15.0
372,Gigabyte B550 VISION D-P,1906.0,False,125.0
373,MSI A320M-A PRO,5961.0,False,15.0
374,MSI MPG X570 GAMING PLUS,1671.0,False,80.0
375,Gigabyte Z390 AORUS PRO WIFI,5796.0,False,17.0
376,MSI MEG X570 UNIFY,1666.0,False,95.0
377,ASRock B450 Pro4,5791.0,False,15.0
378,Gigabyte TRX40 AORUS XTREME,1681.0,False,95.0
379,Gigabyte B550 AORUS PRO AC,1676.0,False,95.0
380,Gigabyte B450 AORUS M,5451.0,False,35.0
381,ASRock B450M Steel Legend,1661.0,False,80.0
382,Gigabyte B560M DS3H,1936.0,False,80.0
383,ASRock A320M-HDV R4.0,5786.0,False,25.0
384,Gigabyte X570 AORUS XTREME,1651.0,False,80.0
385,MSI B450-A PRO MAX,1901.0,False,80.0
386,MSI B450 GAMING PRO CARBON MAX WIFI,1611.0,False,45.0
387,ASRock B550M-ITX/ac,1636.0,False,35.0
388,Asus ROG STRIX Z590-A GAMING WIFI,1631.0,False,35.0
389,Asus ROG STRIX B560-A GAMING WIFI,1641.0,False,35.0
390,Asus TUF GAMING B450M-PLUS II,1646.0,False,35.0
391,MSI B560M PRO-VDH WIFI,1621.0,False,35.0
392,Asus ROG Crosshair VIII Hero,5946.0,False,65.0
393,MSI MPG B550 GAMING CARBON WIFI,1626.0,False,35.0
394,NZXT N7 B550,5801.0,False,4.5
395,Asus ROG Strix X570-F Gaming,1616.0,False,35.0
396,MSI Z590-A PRO,5746.0,False,15.0
397,MSI B450 TOMAHAWK MAX II,1606.0,False,95.0
398,Asus PRIME B550M-A (WI-FI),1601.0,False,95.0
399,MSI X470 GAMING PLUS MAX,1596.0,False,95.0
400,Asus TUF GAMING X570-PLUS (WI-FI),5741.0,False,15.0
401,MSI B450 TOMAHAWK MAX,1591.0,False,95.0
402,Asus ROG STRIX B550-F GAMING (WI-FI),5766.0,False,15.0
403,MSI MAG B550 TOMAHAWK,1586.0,False,95.0
404,ASRock B450M Pro4,1581.0,False,80.0
405,MSI Z490-A PRO,1576.0,False,80.0
406,Asus ROG STRIX B550-A GAMING,1571.0,False,80.0
407,MSI B550-A PRO,1326.0,False,100.0
408,Asus ROG Strix X570-E Gaming,1321.0,False,65.0
409,Gigabyte B450M DS3H V2,1311.0,False,100.0
410,MSI MPG Z490 GAMING PLUS,1316.0,False,65.0
411,Asus ROG STRIX B450-F GAMING,1306.0,False,45.0
412,MSI B550M PRO-VDH WIFI,1301.0,False,95.0
413,MSI MAG X570 TOMAHAWK WIFI,1296.0,False,45.0
414,Asus ROG Crosshair VIII Dark Hero,1291.0,False,45.0
415,Gigabyte B460M DS3H,5981.0,False,65.0
416,MSI MPG Z490 GAMING EDGE WIFI,2071.0,False,65.0
417,Gigabyte B450 I AORUS PRO WIFI,5986.0,False,65.0
418,MSI MPG B550 GAMING EDGE WIFI,2076.0,False,65.0
419,Asus ROG STRIX Z490-E GAMING,5996.0,False,65.0
420,Asus ROG STRIX B550-F GAMING,2081.0,False,65.0
421,Asus ROG STRIX Z590-E GAMING WIFI,5991.0,False,65.0
422,Asus ROG Strix X570-I Gaming,1371.0,False,95.0
423,Asus PRIME B560M-A,6001.0,False,65.0
424,Asus ROG ZENITH II EXTREME ALPHA,6006.0,False,65.0
425,MSI MPG B550 GAMING PLUS,1366.0,False,95.0
426,Gigabyte X570 AORUS ELITE WIFI,5626.0,False,45.0
427,ASRock B450 Steel Legend,1356.0,False,95.0
428,Asus PRIME Z390-A,5631.0,False,45.0
429,Asus PRIME Z490-A,1361.0,False,95.0
430,Asus PRIME B460-PLUS,1351.0,False,65.0
431,Gigabyte B550M DS3H,5531.0,False,65.0
432,Gigabyte B450 AORUS ELITE V2,1346.0,False,100.0
433,Gigabyte B550I AORUS PRO AX,1336.0,False,65.0
434,Asus ROG STRIX B450-F GAMING II,5521.0,False,65.0
435,Asus PRIME X570-PRO,1341.0,False,100.0
436,Gigabyte X570 AORUS MASTER,1331.0,False,65.0
437,Asus ROG Crosshair VIII Hero (WI-FI),5516.0,False,65.0
438,MSI Z390-A PRO,1916.0,False,45.0
439,Asus PRIME H410M-E,1566.0,False,17.0
440,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),1896.0,True,140.0
441,MSI B450M BAZOOKA MAX WIFI,1891.0,True,115.0
442,Asus ROG MAXIMUS XIII HERO,5636.0,False,95.0
443,Asus TUF Gaming Z590-PLUS WIFI,1886.0,True,115.0
444,Asus TUF GAMING B560M-PLUS WIFI,5661.0,False,65.0
445,Asus TUF GAMING X570-PRO (WI-FI),1881.0,True,115.0
446,Asus ROG STRIX B550-I GAMING,5676.0,False,65.0
447,ASRock B550M Pro4,1876.0,True,99.0
448,MSI B450M PRO-VDH MAX,5671.0,False,65.0
